timestamp,visitorid,event,itemid,transactionid
1433221373311,781127,view,21989,
1433222147345,1076270,view,262799,
1433221380636,849453,view,123990,
1433223176926,629333,view,128394,
1433222897013,492414,view,279976,
1433194739377,256542,view,336552,
1433193877348,73449,view,54008,
1433193703544,820159,view,261793,
1433191760912,178376,view,189563,
1433192807066,249113,view,295785,
1433218856734,375514,view,374363,
1433219032738,992115,view,182099,
1433220763474,992115,view,182099,
1433218636795,776534,view,20388,
1433218656883,776534,view,20388,
1433216558478,874763,view,200537,
1433219499096,835743,view,67438,
1433176587177,1080654,view,300629,
1433172520454,1172198,view,414460,
1433172936316,161416,view,303055,
1433173811856,769892,view,335041,
1433173712975,487643,view,29100,
1433174725422,1033786,view,209619,
1433175854695,216801,view,19629,
1433183084532,286616,view,128682,
1433181503405,161416,view,303055,
1433171005349,1098018,view,433957,
1433165814931,518746,view,388800,
1433171636044,836044,view,29741,
1433165145978,307542,view,172292,
1433180423877,1364028,view,403757,
1433177636100,1093035,view,139027,
1433178654707,1160433,view,12765,
1433179274044,1382480,view,214189,
1433179802237,1336835,view,250487,
1433177971181,350566,view,252203,
1433200799978,286616,view,264774,
1433202187926,84327,view,264774,
1433199352462,1333523,view,326743,
1433199296955,84327,view,264774,
1433201205997,1034396,view,194793,
1433202574017,858957,view,339070,
1433200113875,101675,view,83869,
1433201673561,1020169,view,265350,
1433198846574,1210904,view,398756,
1433199128822,1333523,view,326743,
1433202673496,423975,view,88749,
1433208049487,998850,view,29100,
1433207790453,298343,view,362103,
1433210394328,1169423,view,230034,
1433211176615,909569,view,52571,
1433208258771,577780,view,147595,
1433211031906,37093,view,312728,
1433212144803,691017,view,345867,
1433209055261,1210904,view,398756,
1433208815325,411459,view,375021,
1433212089020,1103294,view,93424,
1433191394548,1170247,view,313958,
1433190899417,286616,view,293254,
1433190483649,77390,view,340545,
1433187928551,313092,view,63935,
1433188883415,77390,view,446561,
1433151759810,1086719,view,440248,
1433161234890,307542,view,20740,
1433197638683,520345,view,347861,
1433196292308,1020169,view,265350,
1433196460364,606440,view,336393,
1433195778629,1264233,view,332918,
1433196675168,87043,view,50854,
1433195815329,1185234,view,326743,
1433195809001,1185234,view,326743,
1433214424685,1172082,view,449484,
1433212918759,1364162,view,12765,
1433216306123,1288072,view,385690,
1433212582661,408372,view,232591,
1433214742048,365457,view,26809,
1433214382927,721990,view,250745,
1433214834168,1105628,view,115525,
1433212682671,408372,view,232591,
1433214875000,365457,view,26809,
1433214348324,1255095,view,452096,
1433215957411,996134,view,461180,
1433216281170,934835,view,332918,
1433203645676,272555,view,191726,
1433203575557,149910,view,335041,
1433203540305,1248586,view,139401,
1433202880977,858957,view,339070,
1433206503831,764333,view,123676,
1433202908677,38015,view,17607,
1433207293730,411170,view,409253,
1433204771576,272555,view,191726,
1433207428025,411170,view,336121,
1433186727062,38015,view,398329,
1433187851835,998272,view,353655,
1433186643956,820159,view,79097,
1433186516896,1327144,view,397692,
1433185951711,796636,view,458945,
1433187805934,1093035,view,242967,
1433187438899,350566,view,118199,
1433186388404,1020090,view,86532,
1433185659121,1210904,view,205139,
1433186602351,820159,view,97770,
1433186563141,1309025,view,446522,
1433214617422,1172082,view,124193,
1433214880884,666318,view,440248,
1433212612225,1364162,view,12765,
1433194735401,1210904,view,398756,
1433194663440,286616,view,377133,
1433191793073,178376,view,77392,
1433193994125,486646,view,301324,
1433191951171,638482,view,104651,
1433224130046,816192,view,64396,
1433223766808,102742,view,440248,
1433222272880,1076270,view,262799,
1433223978633,277883,view,397662,
1433224792949,823186,view,78911,
1433224776968,357494,view,29100,
1433222226073,1138470,view,284654,
1433172593834,73449,view,241557,
1433172891567,825321,view,331980,
1433173094892,653625,view,328535,
1433161395389,307542,view,20740,
1433161992188,797730,view,378045,
1433148177596,580290,view,308334,
1433140972212,592787,view,339411,
1433161000769,307542,view,20740,
1433138954457,266414,view,2836,
1433138914745,1373843,view,48881,
1433183284289,1080827,view,138613,
1433181452122,286616,view,379092,
1433182034928,1235292,view,380056,
1433182419766,1210904,view,398756,
1433179674367,30736,view,227458,
1433179941498,229157,view,339578,
1433176969029,1055926,view,428257,
1433179179268,760327,view,211525,
1433199146316,84327,view,264774,
1433202433644,858957,view,339070,
1433198842116,396761,view,391728,
1433200025674,291676,view,392315,
1433200698992,404403,view,397884,
1433202133104,591760,view,133177,
1433198794657,1139092,view,86369,
1433202069855,921284,view,339411,
1433199612454,1356496,view,189926,
1433201382396,289194,view,76677,
1433201363250,350566,view,392315,
1433209242470,1357915,view,68390,
1433210190664,298343,view,362103,
1433208162864,998850,view,29100,
1433210555627,256367,view,248679,
1433212083023,261102,view,227781,
1433209878619,386415,view,388227,
1433209864944,519385,view,384187,
1433209933856,519385,view,384187,
1433217027389,996134,view,461180,
1433217195212,1355799,view,162458,
1433219462547,332242,view,224391,
1433219061181,716201,view,116394,
1433218681510,776534,view,20388,
1433219036320,957260,view,301324,
1433218767718,1120239,view,194562,
1433195207191,85734,view,81916,
1433198056070,520345,view,347861,
1433195227635,592542,view,102147,
1433197577292,77390,view,364153,
1433196372437,643673,view,149588,
1433195967128,85734,view,210038,
1433190649032,77390,view,340545,
1433190662412,77390,view,340545,
1433188157228,1093035,view,63935,
1433190633062,77390,view,340545,
1433189011573,1103454,view,193584,
1433189121361,130734,view,246888,
1433188448530,403474,view,436800,
1433190354582,77390,view,340545,
1433202963781,638482,view,104651,
1433185433708,173858,view,180611,
1433187100582,286616,view,460171,
1433185596817,1093035,view,17794,
1433186233476,776534,view,20388,
1433184499701,350566,view,379092,
1433184908336,110401,view,363740,
1433186620043,653932,view,407253,
1433185156012,1342388,view,40868,
1433185185210,262817,view,340329,
1433187804210,286616,view,336393,
1433187118913,38015,view,238386,
1433185231065,130999,view,155922,
1433221919130,1076270,view,262799,
1433222582934,1248311,view,177695,
1433221916604,1248311,view,177695,
1433220893668,1383988,view,269585,
1433194385603,610183,view,158603,
1433192573008,1057088,view,389027,
1433192958252,592542,view,64225,
1433192965676,769878,view,124193,
1433191540205,832459,view,238386,
1433193649645,948586,view,437382,
1433193293749,84327,view,264774,
1433192882621,249113,view,295785,
1433192451552,77390,view,340545,
1433199105165,1333523,view,326743,
1433201706229,416496,view,312728,
1433200213623,101675,view,263550,
1433199759995,825321,view,54008,
1433202004252,1248586,view,77344,
1433199054802,1020169,view,265350,
1433200052486,997674,view,211020,
1433199246534,84327,view,264774,
1433200084974,288291,view,71995,
1433175589036,273406,view,256146,
1433176095114,322407,view,64002,
1433176262959,138131,view,456169,
1433173915790,769892,view,104663,
1433172791179,417915,view,161736,
1433172583345,234493,view,197635,
1433176478368,85734,view,302391,
1433176594682,880681,view,99610,
1433174912061,1223889,view,378688,
1433172330893,653625,view,328535,
1433176686155,388629,view,157851,
1433175818353,30163,view,2861,
1433174562443,1027924,view,270478,
1433180195340,288040,view,114354,
1433179858411,1346478,view,290999,
1433179679002,1059032,view,360098,
1433177813554,764356,view,309005,
1433177203533,538603,view,258505,
1433179374244,1268882,view,335826,
1433179988697,1346478,view,51360,
1433176790020,388629,view,381623,
1433179225129,1382480,view,214189,
1433184220708,229157,view,448383,
1433183688215,404403,view,20740,
1433162918448,444353,view,169571,
1433155003254,183186,view,357587,
1433161926236,307542,view,172292,
1433219420131,332242,view,224391,
1433217162869,258073,view,185957,
1433217317944,239740,view,134824,
1433219285889,1300130,view,213608,
1433218377882,332242,view,224391,
1433218907836,485698,view,425504,
1433218845364,1405729,view,90835,
1433217558921,1230294,view,322355,
1433211969755,694179,view,68390,
1433211297618,841595,view,34520,
1433210127195,724274,view,312728,
1433211199018,1053105,view,2836,
1433208153256,1151812,view,419573,
1433211082657,404571,view,255708,
1433211872527,1212771,view,399662,
1433189332202,997297,view,60057,
1433188024127,313092,view,63935,
1433189889455,920947,view,245292,
1433188861013,121492,view,63212,
1433188083609,1342423,view,346673,
1433190194180,121688,view,302422,
1433187990097,195802,view,41866,
1433197722421,643673,view,244723,
1433196463520,286616,view,428257,
1433197897046,520345,view,347861,
1433195072201,85734,view,81916,
1433196998835,820159,view,332629,
1433165781247,518746,view,388800,
1433170280148,264937,view,64002,
1433164548107,307542,view,380056,
1433164294111,630888,view,122425,
1433164067292,19582,view,96883,
1433205989424,117193,view,281270,
1433207104325,455557,view,213695,
1433206067501,326182,view,103973,
1433204037149,495588,view,175749,
1433204072153,341294,view,130113,
1433186213668,286616,view,17108,
1433185527990,264147,view,372397,
1433186113108,264147,view,372397,
1433185483237,1128960,view,146448,
1433186689155,38015,view,398329,
1433186514565,940268,view,109434,
1433185742974,776534,view,20388,
1433186858467,165685,view,175921,
1433186367264,776534,view,20388,
1433215146735,13660,view,290999,
1433213937976,267567,view,22493,
1433214295003,721990,view,394168,
1433214386959,12356,view,345867,
1433216401337,874763,view,350960,
1433213049677,350692,view,457857,
1433215052561,13660,view,290999,
1433194892096,1397101,view,49347,
1433194626073,1065157,view,279976,
1433192461732,100875,view,161855,
1433193717565,1173577,view,255622,
1433192455151,404403,view,331343,
1433194268372,610183,view,158603,
1433193006177,1378424,view,389674,
1433194757274,256542,view,336552,
1433223251972,800456,view,238445,
1433221808665,1091227,view,353856,
1433187988296,1221055,view,388816,
1433188055830,438816,view,435561,
1433190564571,77390,view,340545,
1433189142925,130734,view,246888,
1433189665771,138565,view,2836,
1433190270412,780128,view,263606,
1433188758634,256367,view,248679,
1433191440978,498009,view,39214,
1433191415130,1093618,view,276151,
1433189979993,1185234,view,69533,
1433189044231,404403,view,118199,
1433178284677,264190,view,157705,
1433179618160,30736,view,227458,
1433178730123,737025,view,374913,
1433179087680,552056,view,379092,
1433178637342,409324,view,336121,
1433178068742,1314259,view,104663,
1433197451075,820159,view,336393,
1433198400545,972939,view,192426,
1433197794648,643673,view,244723,
1433195040260,33674,view,410205,
1433196385504,381316,view,97402,
1433198244541,1020169,view,265350,
1433197974186,520345,view,347861,
1433197824555,1059808,view,463976,
1433140518747,329584,view,440646,
1433141123816,329584,view,297171,
1433138453894,457820,view,205139,
1433138789861,456617,view,160904,
1433143049505,393265,view,141035,
1433154065821,917835,view,235771,
1433161511037,256367,view,248679,
1433162299540,307542,view,172292,
1433181901857,962218,view,184591,
1433184246783,1134921,view,278071,
1433211840166,286616,view,58086,
1433212008776,138639,view,62317,
1433208254419,404403,view,453347,
1433170728995,529597,view,58220,
1433205033099,474879,view,224090,
1433203461272,216018,view,34479,
1433207501229,1020169,view,265350,
1433207474571,88841,view,37068,
1433203885507,22695,view,75630,
1433203946130,341294,view,32843,
1433206714367,1162365,view,213695,
1433175830122,702279,view,239050,
1433172300836,63121,view,235018,
1433173847267,321470,view,372397,
1433186577643,346248,view,188368,
1433186905750,286616,view,99610,
1433186866606,1086719,view,440248,
1433187355697,468309,view,167220,
1433187664851,16516,view,295785,
1433186147669,897256,view,101948,
1433201287142,404403,view,79167,
1433199726504,808813,view,449484,
1433202390542,466928,view,371723,
1433198885605,84327,view,264774,
1433199130788,218094,view,1956,
1433201527050,742458,view,322341,
1433199405815,396761,view,391728,
